furnished,garage,garden,kitchen_equipment,kitchen_type,livable_surface,locality,number_of_bathrooms,number_of_bedrooms,number_of_facades,number_of_floors,price,property_code,property_url,state_of_the_property,surface_garden,surface_terrace,swimming_pool,terrace,total_land_surface,type_of_heating,type_of_property
No,Yes,Yes,,,236 m²,2950 Kapellen,1.0,5.0,,,  659 000 €  ,RBT71468,https://immovlan.be/en/detail/residence/for-sale/2950/kapellen/rbt71468,Normal,630 m²,,,,915 m²,Not specified,Residence
No,Yes,Yes,,,166 m²,2620 Hemiksem,1.0,3.0,3.0,,  380 000 €  ,RBT71467,https://immovlan.be/en/detail/residence/for-sale/2620/hemiksem/rbt71467,Normal,,,,Yes,,Gas,Residence
No,Yes,,,,153 m²,2660 Hoboken,2.0,3.0,2.0,,  349 000 €  ,RBT71466,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbt71466,Normal,,,,Yes,65 m²,Gas,Residence
No,,,Fully equipped,Western kitchen,54 m²,2620 Hemiksem,1.0,1.0,,1.0,  185 000 €  ,RBT71390,https://immovlan.be/en/detail/apartment/for-sale/2620/hemiksem/rbt71390,Normal,,10 m²,No,Yes,,Gas,Apartment
No,,,,,51 m²,2140 Borgerhout,1.0,1.0,2.0,7.0,  115 000 €  ,RBT71389,https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbt71389,Normal,,,,,,Gas,Apartment
No,Yes,Yes,,,190 m²,2960 Brecht,1.0,3.0,4.0,,  595 000 €  ,RBT71388,https://immovlan.be/en/detail/villa/for-sale/2960/brecht/rbt71388,Normal,1000 m²,30 m²,,Yes,1382 m²,Gas,Villa
No,,,,,110 m²,2060 Antwerp,1.0,3.0,2.0,6.0,  249 500 €  ,RBT71387,https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbt71387,Normal,,5 m²,,Yes,,Gas,Apartment
No,Yes,Yes,,,489 m²,2275 Lille,,6.0,4.0,,  599 000 €  ,RBT71348,https://immovlan.be/en/detail/villa/for-sale/2275/lille/rbt71348,Normal,,,,,889 m²,Gas,Villa
No,Yes,Yes,,,489 m²,2275 Lille,,6.0,4.0,,  599 000 €  ,RBT71347,https://immovlan.be/en/detail/residence/for-sale/2275/lille/rbt71347,Normal,,,,,889 m²,Gas,Residence
No,Yes,Yes,,,489 m²,2275 Lille,,6.0,4.0,,  599 000 €  ,RBT71340,https://immovlan.be/en/detail/master-house/for-sale/2275/lille/rbt71340,Normal,,,,,889 m²,Gas,Master
,Yes,Yes,,,150 m²,2440 Geel,1.0,3.0,2.0,,  229 900 €  ,RBT71327,https://immovlan.be/en/detail/residence/for-sale/2440/geel/rbt71327,,,,No,,405 m²,Not specified,Residence
,Yes,,,,123 m²,2400 Mol,1.0,4.0,3.0,,  179 000 €  ,RBT71325,https://immovlan.be/en/detail/residence/for-sale/2400/mol/rbt71325,,,,No,,146 m²,Gas,Residence
No,,Yes,,,145 m²,2300 Turnhout,1.0,3.0,2.0,,  315 000 €  ,RBT71313,https://immovlan.be/en/detail/residence/for-sale/2300/turnhout/rbt71313,Normal,,,,Yes,133 m²,Gas,Residence
,Yes,,,,120 m²,2570 Duffel,1.0,2.0,,,  375 000 €  ,RBT71284,https://immovlan.be/en/detail/apartment/for-sale/2570/duffel/rbt71284,,,36 m²,No,Yes,,Not specified,Apartment
,Yes,Yes,,,,2018 Antwerp,,,2.0,,  350 000 €  ,RBT71280,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt71280,,,,No,,121 m²,,Residence
,,,,,88 m²,2830 Willebroek,1.0,1.0,,,  195 000 €  ,RBT71276,https://immovlan.be/en/detail/apartment/for-sale/2830/willebroek/rbt71276,,,,No,,,Not specified,Apartment
,Yes,Yes,,,170 m²,2110 Wijnegem,1.0,3.0,2.0,,  645 000 €  ,RBT71260,https://immovlan.be/en/detail/villa/for-sale/2110/wijnegem/rbt71260,,,,No,Yes,937 m²,,Villa
No,Yes,Yes,Super equipped,,325 m²,2310 Rijkevorsel,2.0,4.0,4.0,1.0,  699 000 €  ,RBT71251,https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbt71251,Excellent,,,,Yes,1290 m²,Hot air,Residence
,,Yes,,,211 m²,2460 Kasterlee,1.0,4.0,4.0,,  599 000 €  ,RWC39921,https://immovlan.be/en/detail/mixed-building/for-sale/2460/kasterlee/rwc39921,Excellent,,,,Yes,,,Mixed
No,,Yes,,,90 m²,2220 Heist-op-den-Berg,1.0,2.0,2.0,,  330 000 €  ,RBT71123,https://immovlan.be/en/detail/residence/for-sale/2220/heist-op-den-berg/rbt71123,Normal,,,,Yes,240 m²,Gas,Residence
No,Yes,Yes,,,294 m²,2235 Hulshout,1.0,3.0,4.0,,  399 000 €  ,RBT71119,https://immovlan.be/en/detail/residence/for-sale/2235/hulshout/rbt71119,Normal,,,,Yes,720 m²,Fuel oil,Residence
No,,,,,90 m²,2220 Heist-op-den-Berg,1.0,2.0,2.0,2.0,  395 000 €  ,RBT71114,https://immovlan.be/en/detail/apartment/for-sale/2220/heist-op-den-berg/rbt71114,Normal,,,,Yes,,Gas,Apartment
No,Yes,Yes,,,294 m²,2235 Westmeerbeek,1.0,3.0,4.0,,  399 000 €  ,RBT71111,https://immovlan.be/en/detail/residence/for-sale/2235/westmeerbeek/rbt71111,Normal,,,,Yes,720 m²,Fuel oil,Residence
No,Yes,Yes,,,222 m²,2220 Heist-op-den-Berg,1.0,4.0,4.0,,  415 000 €  ,RBT71101,https://immovlan.be/en/detail/residence/for-sale/2220/heist-op-den-berg/rbt71101,Normal,,,,Yes,2282 m²,Fuel oil,Residence
